x_utm,y_utm,distance_to_water_m,tanager_fnu_estimate,sentinel_fnu_estimate,tanager_relative_signal,sentinel_relative_signal,combined_relative_signal,along_coast_offset_km,section
575475.0,68445.0,94.86832980505139,282.86545,417.89725,89.42652329749103,82.25806451612904,85.84229390681003,0.47999999999992726,N1
575505.0,68445.0,84.8528137423857,237.78137,523.59125,83.78136200716845,96.68458781362007,90.23297491039426,0.47999999999992726,N1
575535.0,68445.0,67.0820393249937,237.78137,523.59125,83.78136200716845,96.68458781362007,90.23297491039426,0.47999999999992726,N1
575565.0,68445.0,60.0,237.78137,523.59125,83.78136200716845,96.68458781362007,90.23297491039426,0.47999999999992726,N1
575595.0,68445.0,42.42640687119285,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.47999999999992726,N1
575625.0,68445.0,30.0,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.47999999999992726,N1
574995.0,68415.0,300.0,320.14084,464.27582,91.93548387096774,89.06810035842294,90.50179211469535,0.44999999999992724,N1
575025.0,68415.0,283.0194339616981,320.14084,464.27582,91.93548387096774,89.06810035842294,90.50179211469535,0.44999999999992724,N1
575055.0,68415.0,268.3281572999748,320.14084,464.27582,91.93548387096774,89.06810035842294,90.50179211469535,0.44999999999992724,N1
575085.0,68415.0,254.5584412271571,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.44999999999992724,N1
575145.0,68415.0,216.33307652783935,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.44999999999992724,N1
575205.0,68415.0,189.73665961010278,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.44999999999992724,N1
575235.0,68415.0,174.92855684535903,129.74777,482.24158,68.1899641577061,94.53405017921148,81.36200716845879,0.44999999999992724,N1
575265.0,68415.0,161.55494421403512,129.74777,482.24158,68.1899641577061,94.53405017921148,81.36200716845879,0.44999999999992724,N1
575385.0,68415.0,108.16653826391968,179.17722,440.75015,74.01433691756273,85.84229390681004,79.92831541218638,0.44999999999992724,N1
575415.0,68415.0,94.86832980505139,179.17722,440.75015,74.01433691756273,85.84229390681004,79.92831541218638,0.44999999999992724,N1
575445.0,68415.0,84.8528137423857,282.86545,417.89725,89.42652329749103,82.25806451612904,85.84229390681003,0.44999999999992724,N1
575505.0,68415.0,60.0,282.86545,417.89725,89.42652329749103,82.25806451612904,85.84229390681003,0.44999999999992724,N1
575535.0,68415.0,42.42640687119285,237.78137,523.59125,83.78136200716845,96.68458781362007,90.23297491039426,0.44999999999992724,N1
574995.0,68385.0,276.5863337187866,320.14084,464.27582,91.93548387096774,89.06810035842294,90.50179211469535,0.41999999999992726,N1
575085.0,68385.0,228.47319317591726,320.14084,464.27582,91.93548387096774,89.06810035842294,90.50179211469535,0.41999999999992726,N1
575145.0,68385.0,192.09372712298546,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.41999999999992726,N1
575175.0,68385.0,174.92855684535903,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.41999999999992726,N1
575205.0,68385.0,161.55494421403512,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.41999999999992726,N1
575265.0,68385.0,134.1640786499874,129.74777,482.24158,68.1899641577061,94.53405017921148,81.36200716845879,0.41999999999992726,N1
575295.0,68385.0,123.69316876852982,129.74777,482.24158,68.1899641577061,94.53405017921148,81.36200716845879,0.41999999999992726,N1
575355.0,68385.0,94.86832980505139,394.72382,477.44708,96.7741935483871,90.68100358422939,93.72759856630825,0.41999999999992726,N1
575385.0,68385.0,84.8528137423857,179.17722,440.75015,74.01433691756273,85.84229390681004,79.92831541218638,0.41999999999992726,N1
