sensor_a,sensor_b,plume_a,plume_b,dist_km,dt_hours,dt_bin,rate_a_kg_hr,rate_b_kg_hr,rate_ratio_a_over_b,lat,lon
EMIT,Tanager,emi20240202t025201p02005-A,tan20250320t032304c00s4001-A,0.22,9888.5,>=30d,3562.938536703463,2252.033940900086,1.582098063441903,22.41996841347047,113.93374264970288
EMIT,Tanager,emi20241127t045106p04010-A,tan20260114t045129c40s4001-A,0.29,9912.0,>=30d,2504.2036620223366,2315.139162522098,1.0816644211116333,14.056368524102323,99.96104153735467
EMIT,Tanager,EMIT_L2B_CH4PLM_002_20240129T042245_002569,tan20250319t040536c00s4001-A,2.7,9959.7,>=30d,,1915.2992629508171,,11.467520148148148,104.86693111111111
EMIT,Tanager,emi20241024t044504p03030-B,tan20251224t044438c14s4001-A,0.23,10224.0,>=30d,1495.7051635486034,794.0853908795804,1.8835570843229639,13.732814783145258,100.9861427861548
EMIT,Tanager,emi20240202t025201p02005-B,tan20250410t032526c00s4001-A,0.08,10392.6,>=30d,,1985.7072127074528,,22.54702509590089,114.17286776076185
EMIT,GHGSat,emi20240429t030438p02038-A,GHGSat_site145_20221229,0.32,-11684.9,>=30d,,6124.180820145145,,10.665388810491748,106.67039969131588
EMIT,GHGSat,emi20240417t080011p05030-A,GHGSat_site115_20221210,0.29,-11857.4,>=30d,2132.0886571290807,66.0707868443757,32.269763369869345,14.05820850688808,99.96208667354983
EMIT,Tanager,emi20240322t074401p05002-A,tan20250801t043627c33s4001-A,0.27,11924.9,>=30d,4340.360148643227,429.8618495133188,10.09710481066719,13.5847052973685,100.671364739461
EMIT,Tanager,emi20231107t005349p01003-A,tan20250405t034554c00s4001-A,0.02,12362.9,>=30d,1111.2082791847197,,,-6.566336598730658,106.64444518484156
EMIT,GHGSat,emi20240615t083425p06019-A,GHGSat_site115_20221210,0.73,-13274.0,>=30d,1550.432878931685,528.8654110494612,2.9316208746854193,14.059606026880717,99.96531084459308
EMIT,Tanager,emi20240205t020108p02003-A,tan20250905t044131c73s4001-A,0.15,13874.7,>=30d,3100.607500819799,,,13.584323787250185,100.67244101840625
EMIT,Tanager,emi20240104t013445p01003-A,tan20250805t033610c58s4001-A,0.29,13898.0,>=30d,917.0471382531484,,,-7.548284683378498,112.7628556910796
EMIT,GHGSat,emi20240802t024351p02002-A,GHGSat_site40_20221229,0.24,-13965.1,>=30d,,5697.056950592886,,22.54693459460968,114.1724757959397
EMIT,Tanager,emi20230921t074856p05002-C,tan20250508t032900c00s4001-B,0.21,14275.7,>=30d,,1342.969065154592,,22.421047080502177,113.93333537476012
EMIT,Tanager,emi20240223t052749p04022-A,tan20251021t051327c98s4001-A,0.55,14543.8,>=30d,239.05161072289116,,,16.92078112889459,96.18379081294472
EMIT,Tanager,emi20230903t022517p02001-A,tan20250507t041347c00s4001-A,0.31,14689.8,>=30d,,6499.620599671016,,3.185124086531602,101.356172107576
EMIT,Tanager,emi20231220t070703p05015-B,tan20250919t044315c71s4001-A,0.27,15333.6,>=30d,1767.7369681888283,696.1143619945083,2.5394347031196207,13.58173459260722,100.67026520226722
EMIT,Tanager,emi20240615t083425p06019-A,tan20260318t051007c70s4001-A,0.42,15380.6,>=30d,1550.432878931685,3056.274464186038,0.5072950407759285,14.059606026880717,99.96531084459308
EMIT,Tanager,emi20240205t020120p02004-A,tan20251126t043949c37s4001-A,0.5,15842.6,>=30d,279.8290913034779,3538.404622592363,0.07908340654904103,13.767723682738506,101.40333043334266
EMIT,Tanager,emi20230405t015446p02002-B,tan20250126t025942c00s4001-A,0.6,15889.1,>=30d,,4975.578243414561,,14.77738611282794,121.15600657490955
EMIT,Tanager,emi20230405t015446p02002-A,tan20250202t025751c00s4001-B,0.58,16057.1,>=30d,,1043.9268802360252,,14.694343096327202,121.16561477781728
EMIT,GHGSat,emi20241127t045106p04010-A,GHGSat_site115_20221210,1.99,-17230.3,>=30d,2504.2036620223366,66.6811174964831,37.55491443517595,14.056368524102323,99.96104153735467
GHGSat,Tanager,GHGSat_site115_20221221,tan20250103t041216c00s4001-B,0.37,17853.7,>=30d,2135.274953189297,1216.3736193751297,1.755443326932905,14.05374628,99.97290827
EMIT,GHGSat,emi20241219t063253p04011-A,GHGSat_site115_20221204,1.25,-17904.0,>=30d,4584.030922378851,2155.728801834527,2.1264413772631494,14.0531941214809,99.96127225399675
GHGSat,Tanager,GHGSat_site115_20221218,tan20250103t041216c00s4001-A,1.23,17925.6,>=30d,3918.3409230244943,3181.4461924301254,1.2316225659725828,14.05612,99.971907
EMIT,Tanager,emi20240417t080011p05030-A,tan20260531t051516c36s4001-A,0.44,18573.3,>=30d,2132.0886571290807,,,14.05820850688808,99.96208667354983
