site_ID,lat,lon,year,month,day,hour,minute,second,Q_t_per_hr,Q_error_t_per_hr,wind_speed_m_per_s,sat_ID,obs_ID,date,IME_kg,intermediate_results_L_m,intermediate_results_effective_wind_speed_m_per_s,conversion_ch4_ppb_to_molm2,manually_pinned_sources,plume_tif_file_name,sensor,datetime,emission_kg_hr,uncertainty_kg_hr,source
41,22.41700842,113.93172892,2022,10,11,1,57,55,9.039672301855472,2.9485690523269947,5.03,2,-acK93c,2022-10-11 01:57:55,940.865374222932,888.1008655912947,2.3702,0.000356153,(22.416800;113.931900),C2_20221011_20221013_-acK93c_6851_CH4PL.tif,GHGSat (open sample),2022-10-11 01:57:55+00:00,9039.672301855471,2948.5690523269946,GHGSat open Zenodo release (2021-2022)
41,22.41840093,113.93355108,2022,10,14,5,44,29,4.824190094103715,2.2204824173382045,2.46,4,HahB93c,2022-10-14 05:44:29,1083.4364893237707,1209.8436404030408,1.4964,0.000356153,(22.417900;113.933200),C4_20221014_20221018_HahB93c_6976_CH4PL.tif,GHGSat (open sample),2022-10-14 05:44:29+00:00,4824.190094103715,2220.4824173382044,GHGSat open Zenodo release (2021-2022)
41,22.41482126,113.93228888,2022,11,13,5,41,27,12.328418932208574,6.496477183971809,1.66,3,DbACd3c,2022-11-13 05:41:27,3847.507732997907,1375.61828317748,1.2244000000000002,0.000356153,(22.418200;113.934100),C3_20221113_20221125_DbACd3c_7889_CH4PL.tif,GHGSat (open sample),2022-11-13 05:41:27+00:00,12328.418932208575,6496.477183971809,GHGSat open Zenodo release (2021-2022)
41,22.41793659,113.93402194,2022,12,8,5,46,29,8.802536232855513,3.662925535807775,3.11,3,DbZ-93c,2022-12-08 05:46:29,1475.3396309743268,1036.2347367570144,1.7174,0.000356153,(22.418000;113.934300),C3_20221208_20221216_DbZ-93c_8328_CH4PL.tif,GHGSat (open sample),2022-12-08 05:46:29+00:00,8802.536232855513,3662.925535807775,GHGSat open Zenodo release (2021-2022)
41,22.41679937,113.93146233,2022,12,10,1,43,39,7.089280504056102,2.219003184553808,5.37,2,-ba593c,2022-12-10 01:43:39,439.9417824104309,555.3435522158458,2.4858,0.000356153,(22.416800;113.931800),C2_20221210_20221216_-ba593c_8399_CH4PL.tif,GHGSat (open sample),2022-12-10 01:43:39+00:00,7089.2805040561025,2219.0031845538083,GHGSat open Zenodo release (2021-2022)
41,22.41850842,113.9327382,2022,12,24,1,48,30,7.153272103437351,2.518299868133408,4.44,2,-bo693c,2022-12-24 01:48:30,950.6837310863172,1038.0385668686422,2.1696000000000004,0.000356153,(22.417200;113.932200),C2_20221224_20230110_-bo693c_9047_CH4PL.tif,GHGSat (open sample),2022-12-24 01:48:30+00:00,7153.272103437352,2518.299868133408,GHGSat open Zenodo release (2021-2022)
41,22.41845981,113.93379077,2022,12,25,5,43,14,5.836235614736566,3.032851473222657,1.73,3,DbpB93c,2022-12-25 05:43:14,1298.131016718727,999.4760443730358,1.2482000000000002,0.000356153,(22.416300;113.933800),C3_20221225_20230111_DbpB93c_9061_CH4PL.tif,GHGSat (open sample),2022-12-25 05:43:14+00:00,5836.235614736566,3032.851473222657,GHGSat open Zenodo release (2021-2022)
41,22.41684627,113.93322015,2022,12,28,5,51,45,6.642405130865466,2.607028696555178,3.57,4,HbsE93c,2022-12-28 05:51:45,1159.7352426426223,1177.7665886769191,1.8738,0.000356153,(22.417200;113.933700),C4_20221228_20230111_HbsE93c_9102_CH4PL.tif,GHGSat (open sample),2022-12-28 05:51:45+00:00,6642.405130865466,2607.028696555178,GHGSat open Zenodo release (2021-2022)
41,22.41744268,113.93224044,2022,12,31,1,50,15,7.386780319754181,2.454891839705546,4.88,2,-buDd3c,2022-12-31 01:50:15,803.3829289868621,908.0465628746362,2.3192,0.000356153,(22.416900;113.932000),C2_20221231_20230113_-buDd3c_9228_CH4PL.tif,GHGSat (open sample),2022-12-31 01:50:15+00:00,7386.780319754182,2454.891839705546,GHGSat open Zenodo release (2021-2022)
61,-8.72373774,115.22225241,2022,5,18,1,36,43,1.1178964369541655,0.5021731604671981,2.72,2,AZN4nLd,2022-05-18 01:36:43,62.63922321712763,319.68462875677494,1.5848000000000002,0.0003576785,(-8.723400;115.222100),C2_20220518_20220530_AZN4nLd_4033_CH4PL.tif,GHGSat (open sample),2022-05-18 01:36:43+00:00,1117.8964369541654,502.17316046719804,GHGSat open Zenodo release (2021-2022)
61,-8.72125285,115.22220852,2022,5,18,1,36,43,0.7764285545138594,0.3570680345272792,2.72,2,AZN4nLd,2022-05-18 01:36:43,43.6608140627222,320.82432801783483,1.5848000000000002,0.0003576785,(-8.721000;115.221900),C2_20220518_20220530_AZN4nLd_4032_CH4PL.tif,GHGSat (open sample),2022-05-18 01:36:43+00:00,776.4285545138594,357.0680345272792,GHGSat open Zenodo release (2021-2022)
98,2.73269413,101.60382329,2022,7,23,2,39,11,6.9386699343741824,4.183042077897319,1.09,2,9_P5-SR,2022-07-23 02:39:11,5086.418850017789,2719.747147373724,1.0306000000000002,0.0003573485,(2.731900;101.605000),C2_20220723_20220727_9_P5-SR_4843_CH4PL.tif,GHGSat (open sample),2022-07-23 02:39:11+00:00,6938.669934374182,4183.042077897319,GHGSat open Zenodo release (2021-2022)
115,14.05405725,99.97280273,2021,11,22,2,54,1,4.798256300269473,2.9045803411315814,1.5,2,AWaD14Y,2021-11-22 02:54:01,2168.3009392710374,1903.3755149129283,1.17,0.0003573897,(14.054300;99.973900),C2_20211122_20220423_AWaD14Y_2600_CH4PL.tif,GHGSat (open sample),2021-11-22 02:54:01+00:00,4798.256300269472,2904.5803411315815,GHGSat open Zenodo release (2021-2022)
115,14.06620949,99.97663717,2021,11,22,2,54,1,1.522715562262026,0.9242396768240572,1.5,2,AWaD14Y,2021-11-22 02:54:01,246.1083217177376,680.7628927987097,1.17,0.0003573897,(14.066100;99.977000),C2_20211122_20220423_AWaD14Y_2599_CH4PL.tif,GHGSat (open sample),2021-11-22 02:54:01+00:00,1522.7155622620262,924.2396768240571,GHGSat open Zenodo release (2021-2022)
115,14.05659012,99.97204501,2021,12,27,2,52,25,1.4415089945525328,0.5633483496909909,3.66,2,AX8FW4Y,2021-12-27 02:52:25,63.12408705319572,300.21917491893254,1.9044000000000003,0.0003573897,(14.056600;99.972100),C2_20211227_20220422_AX8FW4Y_2913_CH4PL.tif,GHGSat (open sample),2021-12-27 02:52:25+00:00,1441.5089945525328,563.3483496909909,GHGSat open Zenodo release (2021-2022)
115,14.06861712,99.97800425,2021,12,27,2,52,25,1.1139186049851573,0.4478656184724404,3.66,2,AX8FW4Y,2021-12-27 02:52:25,90.56524864208788,557.4023554967423,1.9044000000000003,0.0003573897,(14.068100;99.976200),C2_20211227_20220422_AX8FW4Y_2912_CH4PL.tif,GHGSat (open sample),2021-12-27 02:52:25+00:00,1113.9186049851573,447.86561847244036,GHGSat open Zenodo release (2021-2022)
